A_Node,B_Node,Length (km),Length (mile),Link_ID
1,2,17.74,11.02,1
1,7,2.92,1.81,2
2,12,12.89,8.01,3
2,230,18.97,11.79,4
2,1,17.74,11.02,1
2,227,5.05,3.14,370
3,4,2.09,1.3,5
4,23,24.24,15.06,6
4,3,2.09,1.3,5
4,5,43.37,26.95,8
5,6,27.61,17.16,7
5,4,43.37,26.95,8
6,230,13.73,8.53,9
6,5,27.61,17.16,7
6,228,34.12,21.2,372
7,8,2.71,1.68,10
7,10,8.32,5.17,11
7,1,2.92,1.81,2
8,12,18.22,11.32,12
8,9,2.73,1.7,13
8,7,2.71,1.68,10
9,10,9.12,5.67,14
9,11,8.47,5.26,15
9,8,2.73,1.7,13
10,14,6.59,4.09,16
10,7,8.32,5.17,11
10,9,9.12,5.67,14
10,237,8.72,5.42,385
11,14,27.3,16.96,17
11,9,8.47,5.26,15
11,12,14.1,8.76,18
12,11,14.1,8.76,18
12,13,15.21,9.45,19
12,2,12.89,8.01,3
12,8,18.22,11.32,12
13,12,15.21,9.45,19
14,239,12.23,7.6,20
14,10,6.59,4.09,16
14,11,27.3,16.96,17
14,237,5.59,3.47,386
15,237,5.89,3.66,21
15,16,17.86,11.1,22
15,31,15.96,9.92,42
16,15,17.86,11.1,22
16,227,12.18,7.57,23
16,17,11.36,7.06,24
17,16,11.36,7.06,24
17,18,21.75,13.51,25
18,17,21.75,13.51,25
18,19,16.57,10.3,26
19,18,16.57,10.3,26
19,25,24.34,15.12,27
19,228,40.87,25.4,28
19,20,25.77,16.01,29
19,231,35.72,22.2,375
19,250,61.95,38.49,402
20,19,25.77,16.01,29
20,21,19.36,12.03,30
21,20,19.36,12.03,30
21,22,16.8,10.44,31
21,24,28.81,17.9,34
21,251,42.32,26.3,405
22,21,16.8,10.44,31
23,24,32.87,20.42,32
23,232,14.81,9.2,33
23,4,24.24,15.06,6
24,21,28.81,17.9,34
24,23,32.87,20.42,32
25,26,22.72,14.12,35
25,19,24.34,15.12,27
26,51,8.32,5.17,36
26,25,22.72,14.12,35
27,240,33.5,20.82,37
27,28,5.19,3.22,38
28,27,5.19,3.22,38
28,238,10.86,6.75,387
28,239,11.72,7.28,388
29,39,2.4,1.49,57
30,36,2.47,1.53,39
30,45,15.39,9.56,40
30,238,15.87,9.86,41
30,37,3.67,2.28,54
30,38,3.09,1.92,55
31,15,15.96,9.92,42
31,236,7.24,4.5,43
31,51,18.34,11.4,77
31,233,12.07,7.5,378
31,234,7.41,4.6,380
32,35,1.67,1.04,44
32,34,1.69,1.05,45
32,234,7.24,4.5,46
33,34,1.7,1.06,47
34,35,1.8,1.12,48
34,41,3.12,1.94,49
34,32,1.69,1.05,45
34,33,1.7,1.06,47
35,39,1.73,1.07,50
35,40,3.12,1.94,51
35,32,1.67,1.04,44
35,34,1.8,1.12,48
36,308,13.19,8.2,52
36,30,2.47,1.53,39
36,37,4.06,2.52,53
37,36,4.06,2.52,53
37,30,3.67,2.28,54
37,40,3.73,2.32,59
37,47,8.83,5.49,71
38,30,3.09,1.92,55
38,39,4.38,2.72,56
38,40,2.12,1.32,60
38,42,7.41,4.6,64
39,29,2.4,1.49,57
39,235,5.14,3.19,58
39,35,1.73,1.07,50
39,38,4.38,2.72,56
40,37,3.73,2.32,59
40,38,2.12,1.32,60
40,35,3.12,1.94,51
40,41,2.37,1.47,61
41,40,2.37,1.47,61
41,42,5.81,3.61,62
41,34,3.12,1.94,49
41,50,8.78,5.46,74
42,47,5.25,3.26,63
42,38,7.41,4.6,64
42,41,5.81,3.61,62
42,43,1.67,1.04,65
43,42,1.67,1.04,65
43,44,1.2,0.75,66
44,43,1.2,0.75,66
44,53,8.04,5,79
45,30,15.39,9.56,40
45,48,12.45,7.74,72
46,47,11.75,7.3,67
46,48,4.69,2.91,68
46,256,23.4,14.54,69
46,257,22.4,13.92,70
46,54,17.09,10.62,82
47,37,8.83,5.49,71
47,42,5.25,3.26,63
47,46,11.75,7.3,67
48,45,12.45,7.74,72
48,46,4.69,2.91,68
49,50,3.1,1.93,73
50,49,3.1,1.93,73
50,41,8.78,5.46,74
50,51,7.5,4.66,75
50,52,7.42,4.61,78
51,50,7.5,4.66,75
51,234,14.48,9,76
51,31,18.34,11.4,77
51,26,8.32,5.17,36
52,50,7.42,4.61,78
52,54,9.32,5.79,80
52,55,14.52,9.02,83
53,44,8.04,5,79
53,54,7.68,4.77,81
54,52,9.32,5.79,80
54,53,7.68,4.77,81
54,46,17.09,10.62,82
54,56,38.67,24.03,84
55,52,14.52,9.02,83
56,54,38.67,24.03,84
56,57,23.91,14.86,85
57,56,23.91,14.86,85
57,252,40.39,25.1,86
57,58,39.54,24.57,87
57,250,47.47,29.5,403
58,57,39.54,24.57,87
58,64,73.7,45.8,88
58,250,50.69,31.5,89
58,252,45.86,28.5,90
58,59,23.04,14.32,93
58,62,17.5,10.87,96
59,60,69.64,43.27,91
59,62,30.56,18.99,92
59,58,23.04,14.32,93
59,61,40.48,25.15,94
60,59,69.64,43.27,91
61,59,40.48,25.15,94
61,251,13.19,8.2,95
62,58,17.5,10.87,96
62,63,29.44,18.29,97
62,59,30.56,18.99,92
63,68,46.07,28.63,98
63,62,29.44,18.29,97
63,96,55.11,34.24,152
64,66,21.53,13.38,99
64,252,30.89,19.19,100
64,58,73.7,45.8,88
64,259,21.3,13.24,417
65,66,20.8,12.92,101
65,67,55.3,34.36,102
65,259,8.3,5.16,418
66,67,45.74,28.42,103
66,64,21.53,13.38,99
66,65,20.8,12.92,101
67,74,27.76,17.25,104
67,80,22.37,13.9,105
67,85,11.78,7.32,106
67,65,55.3,34.36,102
67,66,45.74,28.42,103
67,91,41.16,25.58,144
67,253,24.6,15.29,408
68,69,23.09,14.35,107
68,259,28.5,17.71,108
68,63,46.07,28.63,98
68,96,40.1,24.92,153
69,70,15.65,9.72,109
69,68,23.09,14.35,107
70,91,21.09,13.1,110
70,259,49.2,30.57,111
70,69,15.65,9.72,109
70,92,22.78,14.15,145
70,265,25.8,16.03,424
71,72,31.37,19.49,112
71,255,16.6,10.31,412
71,257,23.4,14.54,415
72,73,23.2,14.42,113
72,309,61.5,38.21,114
72,71,31.37,19.49,112
73,75,10.41,6.47,115
73,74,30.3,18.83,116
73,310,68.3,42.44,117
73,72,23.2,14.42,113
73,254,13.6,8.45,409
74,78,7.81,4.85,118
74,67,27.76,17.25,104
74,73,30.3,18.83,116
74,254,21.8,13.55,410
75,76,20.2,12.55,119
75,244,35.7,22.18,120
75,73,10.41,6.47,115
75,83,64.2,39.89,135
76,77,19.93,12.38,121
76,75,20.2,12.55,119
77,83,29.12,18.09,122
77,244,34,21.13,123
77,249,34.6,21.5,124
77,248,32.6,20.26,125
77,76,19.93,12.38,121
77,79,8.17,5.08,127
78,79,17.55,10.91,126
78,74,7.81,4.85,118
79,77,8.17,5.08,127
79,248,33.5,20.82,128
79,78,17.55,10.91,126
79,80,5.45,3.39,129
79,81,32,19.88,130
80,79,5.45,3.39,129
80,67,22.37,13.9,105
81,79,32,19.88,130
81,82,13.83,8.59,131
81,85,28.89,17.95,137
81,226,17.8,11.06,369
81,311,8.7,5.41,496
82,248,26.1,16.22,132
82,86,15,9.32,133
82,81,13.83,8.59,131
83,84,25.48,15.83,134
83,75,64.2,39.89,135
83,77,29.12,18.09,122
84,86,10.69,6.64,136
84,83,25.48,15.83,134
84,226,9,5.59,368
84,262,11.4,7.08,422
85,81,28.89,17.95,137
85,67,11.78,7.32,106
85,312,24.4,15.16,498
86,88,15.62,9.71,138
86,82,15,9.32,133
86,84,10.69,6.64,136
86,90,11.5,7.15,143
87,247,25.9,16.09,139
87,89,13.43,8.35,141
87,90,41.9,26.04,142
87,111,72.4,44.99,179
87,284,50.3,31.25,448
88,89,14.46,8.99,140
88,86,15.62,9.71,138
89,87,13.43,8.35,141
89,88,14.46,8.99,140
90,87,41.9,26.04,142
90,86,11.5,7.15,143
90,112,31.5,19.57,182
91,67,41.16,25.58,144
91,70,21.09,13.1,110
92,70,22.78,14.15,145
92,93,36.75,22.84,147
93,103,26.24,16.3,146
93,92,36.75,22.84,147
93,94,28.03,17.42,149
93,99,41.23,25.62,155
94,97,18.45,11.46,148
94,93,28.03,17.42,149
94,95,19.82,12.32,150
94,98,31.33,19.47,154
95,94,19.82,12.32,150
96,97,24.84,15.43,151
96,63,55.11,34.24,152
96,68,40.1,24.92,153
97,94,18.45,11.46,148
97,96,24.84,15.43,151
98,94,31.33,19.47,154
98,99,15.53,9.65,156
99,93,41.23,25.62,155
99,98,15.53,9.65,156
99,100,12.11,7.52,157
99,101,17.75,11.03,159
100,99,12.11,7.52,157
100,104,6.32,3.93,158
100,101,10.55,6.56,160
101,99,17.75,11.03,159
101,100,10.55,6.56,160
101,109,18.63,11.58,172
